2026-04-28 08:00:01 INFO  Application started successfully
2026-04-28 08:01:15 INFO  Connected to database at db.internal:5432
2026-04-28 08:02:30 WARNING  Disk usage at 85% on /dev/sda1
2026-04-28 08:03:44 INFO  Scheduled job 'backup' triggered
2026-04-28 08:04:10 ERROR  Failed to connect to cache service: Connection refused
2026-04-28 08:04:11 ERROR  Retrying cache connection (attempt 1/3)
2026-04-28 08:04:13 ERROR  Retrying cache connection (attempt 2/3)
2026-04-28 08:04:15 ERROR  Retrying cache connection (attempt 3/3) — giving up
2026-04-28 08:05:00 INFO  Serving request GET /api/health -> 200
2026-04-28 08:06:22 WARNING  Response time exceeded 2s threshold: 3.4s for POST /api/upload
2026-04-28 08:07:45 INFO  User imtiaz logged in
2026-04-28 08:08:01 CRITICAL  Out of memory: kill process 4821 (worker) or sacrifice child
2026-04-28 08:08:02 ERROR  Worker process crashed unexpectedly (exit code 137)
2026-04-28 08:09:30 WARNING  SSL certificate expires in 7 days for api.example.com
2026-04-28 08:10:00 INFO  Auto-scaling triggered: adding 2 replicas
2026-04-28 08:11:15 ERROR  Database query timeout after 30s: SELECT * FROM audit_logs
2026-04-28 08:12:00 INFO  Health check passed
2026-04-28 08:13:45 CRITICAL  Filesystem /var/log is full (100% used)
2026-04-28 08:14:00 WARNING  High CPU usage: 92% on node-3
2026-04-28 08:15:00 INFO  Application shutdown gracefully
